PDS_CODE;SL_NPD_HB_Code;Brand_Name;Date_of_Manufacture;Manufacturing_Site;Physical_State;Age;Fat_Content;Nitrogen_Flushed;Protein_hydrolysis;pH;Density;Dilution;DESCRIPTION;login_date;Package;Comments_Trial;filename;Parameter;Unit;Target;Target_Min;Target_Max;SL_Time;Result_No;Result;Result_prefix;Timepoint;Temperature;Humidity
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Sensory;NONE;;;;0;24177107;Typical;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Comment;NONE;;;;0;24177108;n/a;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Residual Oxygen;PERCENT;;;;0;24177109;18.40;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Comment;NONE;;;;0;24177110;High oxygen sachet not used (sachet number 3301 006561). Sachets used were: 0.427, 0.501, 0.461, 0.397, 0.471, 0.502, 0.271;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;TVC;CFU_G;;;;0;24177111;<100;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Enterococci/Streptococci;CFU_G;;;;0;24177116;<10;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Coag Pos Staph;CFU_G;;;;0;24177123;<10;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Yeast and Mould;CFU_G;;;;0;24177130;<10;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Bacillus cereus;CFU_G;;;;0;24177135;<10;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Enterobacteriaceae;NONE;;;;0;24177142;Absent;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;SRC;CFU_G;;;;0;24177149;<10;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Salmonella;NONE;;;;0;24177158;Absent;;0;;
B5421;NPD-001529;PKU GMPro 15 Berries;17/10/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=)(H=);01/11/2022 11:18;30g sachet;;;Listeria spp.;NONE;;;;0;24177162;Absent;;0;;
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Taurine;G_100G;;;;0;24177647;0.000;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Aspartic Acid;G_100G;;;;0;24177648;2.951;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Threonine;G_100G;;;;0;24177649;5.124;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Serine;G_100G;;;;0;24177650;2.670;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Glutamic Acid;G_100G;;;;0;24177651;6.900;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Glutamine;G_100G;;;;0;24177652;0.000;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Proline;G_100G;;;;0;24177653;4.374;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Glycine;G_100G;;;;0;24177654;0.973;;0;25°C;75%
B5420;NPD-001530;PKU GMPro 15 Tropical;17/11/2022 00:00;Fulda;POWDER;;;Yes;;;;;(TP=T0)(T=25°C)(H=75%);01/11/2022 11:32;30g sachet;;;Alanine;G_100G;;;;0;24177655;2.477;;0;25°C;75%
